t=2026-06-04T10:21:02-0600 lvl=info msg="no configuration paths supplied"
t=2026-06-04T10:21:02-0600 lvl=info msg="using configuration at default config path" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-06-04T10:21:02-0600 lvl=info msg="open config file" path="C:\\Users\\Soporte TI Junior\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-06-04T10:21:02-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-04T10:21:02-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-04T10:21:02-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T10:21:02-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T11:37:25-0600 lvl=info msg="join connections" obj=join id=d3c55c72c284 l=[::1]:3000 r=[2a03:2880:10ff:4f::]:62084
t=2026-06-04T11:39:13-0600 lvl=info msg="join connections" obj=join id=8b665f66a08d l=[::1]:3000 r=[2a03:2880:22ff:4a::]:52872
t=2026-06-04T11:39:15-0600 lvl=info msg="join connections" obj=join id=ea8e26d9e4f3 l=[::1]:3000 r=[2a03:2880:22ff:7::]:33402
t=2026-06-04T11:39:15-0600 lvl=info msg="join connections" obj=join id=fb401666685b l=[::1]:3000 r=[2a03:2880:22ff:48::]:44484
t=2026-06-04T11:39:15-0600 lvl=info msg="join connections" obj=join id=b458273912a1 l=[::1]:3000 r=[2a03:2880:22ff:74::]:54606
t=2026-06-04T11:39:15-0600 lvl=info msg="join connections" obj=join id=6ebd34d53f26 l=[::1]:3000 r=[2a03:2880:12ff:8::]:47506
t=2026-06-04T11:40:07-0600 lvl=info msg="join connections" obj=join id=a98ea1830a39 l=[::1]:3000 r=[2a03:2880:22ff:45::]:45058
t=2026-06-04T11:40:10-0600 lvl=info msg="join connections" obj=join id=3623306ecad0 l=[::1]:3000 r=[2a03:2880:22ff:3::]:32842
t=2026-06-04T11:40:10-0600 lvl=info msg="join connections" obj=join id=626d7ea42c05 l=[::1]:3000 r=[2a03:2880:12ff:73::]:40006
t=2026-06-04T11:40:10-0600 lvl=info msg="join connections" obj=join id=1f3dec19914a l=[::1]:3000 r=[2a03:2880:22ff::]:56688
t=2026-06-04T11:40:10-0600 lvl=info msg="join connections" obj=join id=52e14bd5ba9b l=[::1]:3000 r=[2a03:2880:22ff:74::]:60156
t=2026-06-04T11:40:26-0600 lvl=info msg="join connections" obj=join id=53dc1fadd88d l=[::1]:3000 r=[2a03:2880:22ff:44::]:45156
t=2026-06-04T11:40:28-0600 lvl=info msg="join connections" obj=join id=a2b6e9f6d937 l=[::1]:3000 r=[2a03:2880:22ff:51::]:42546
t=2026-06-04T11:40:28-0600 lvl=info msg="join connections" obj=join id=3553bcfdb51a l=[::1]:3000 r=[2a03:2880:10ff:45::]:48334
t=2026-06-04T11:40:28-0600 lvl=info msg="join connections" obj=join id=54bcadcc40c6 l=[::1]:3000 r=[2a03:2880:2ff:5::]:58140
t=2026-06-04T11:40:28-0600 lvl=info msg="join connections" obj=join id=14e8a2347f47 l=[::1]:3000 r=[2a03:2880:10ff:5f::]:58266
t=2026-06-04T12:37:43-0600 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=4677869f5ac3 err="read tcp 172.26.10.222:55647->3.134.73.173:443: wsarecv: An existing connection was forcibly closed by the remote host."
t=2026-06-04T12:37:44-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-04T12:37:44-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-04T12:37:47-0600 lvl=info msg="join connections" obj=join id=6583c56bc9d9 l=[::1]:3000 r=[2a03:2880:22ff:73::]:48342
t=2026-06-04T12:37:50-0600 lvl=info msg="join connections" obj=join id=ea7ac1d03ee9 l=[::1]:3000 r=[2a03:2880:22ff:4d::]:60692
t=2026-06-04T12:37:50-0600 lvl=info msg="join connections" obj=join id=5616aea41767 l=[::1]:3000 r=[2a03:2880:10ff:4c::]:62300
t=2026-06-04T12:37:50-0600 lvl=info msg="join connections" obj=join id=ace07d15be6d l=[::1]:3000 r=[2a03:2880:22ff:4::]:48830
t=2026-06-04T12:37:50-0600 lvl=info msg="join connections" obj=join id=cde6f122942b l=[::1]:3000 r=[2a03:2880:12ff:5::]:51308
t=2026-06-04T12:37:53-0600 lvl=info msg="join connections" obj=join id=1d52b151e35a l=[::1]:3000 r=[2a03:2880:21ff:b::]:64254
t=2026-06-04T12:37:56-0600 lvl=info msg="join connections" obj=join id=f1a610fd0f60 l=[::1]:3000 r=[2a03:2880:22ff:4f::]:57644
t=2026-06-04T12:37:56-0600 lvl=info msg="join connections" obj=join id=11ad630dfb1b l=[::1]:3000 r=[2a03:2880:2ff:47::]:46880
t=2026-06-04T12:37:58-0600 lvl=info msg="join connections" obj=join id=0ce11400cc65 l=[::1]:3000 r=[2a03:2880:22ff:4::]:46746
t=2026-06-04T12:37:58-0600 lvl=info msg="join connections" obj=join id=0b1a5b65402d l=[::1]:3000 r=[2a03:2880:2ff:40::]:61802
t=2026-06-04T12:37:59-0600 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=9dd25054635c clientid=1527abaca6d9ffbf2ba7a5a7537c58b3
t=2026-06-04T12:38:00-0600 lvl=info msg="join connections" obj=join id=4eb61c91a8ea l=[::1]:3000 r=[2a03:2880:12ff:2::]:47768
t=2026-06-04T12:38:02-0600 lvl=info msg="join connections" obj=join id=3105d1cd309b l=[::1]:3000 r=[2a03:2880:10ff:43::]:43362
t=2026-06-04T12:38:02-0600 lvl=info msg="join connections" obj=join id=14e563e528e7 l=[::1]:3000 r=[2a03:2880:22ff:50::]:55818
t=2026-06-04T12:38:02-0600 lvl=info msg="join connections" obj=join id=034f4688e52d l=[::1]:3000 r=[2a03:2880:10ff:5c::]:64122
